Status,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q2.1,Q3.1,Q4,Q27,Q28,Q29,Q30,Q42,Q43,Q44,Q50,Q45,Q13,Q14,Q15,Q32,Q33,Q34,Q35,Q36,Q46,Q47,Q48,Q49,Q18,Q37,Q38,Q39,Q40,Q41,Q32.1,Q33.1,Q34.1,Q35.1,Q36.1,Q37.1,Q38.1,Q39.1,Q40.1,Q41.1,Q42.1,Q43.1,gender,gender_4_TEXT,age,nationality
IP Address,,anonymous,EN-GB,Yes,650a05d42ac1a544fe1b9937,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A moderate amount,A moderate amount,None at all,A great deal,About half the time,A lot,Somewhat,A lot,A lot,A moderate amount,A lot,A lot,A lot,A great deal,A moderate amount,A great deal,A lot,A little,A great deal,A moderate amount,A great deal,A lot,A lot,A moderate amount,A moderate amount,A lot,A great deal,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A little,A lot,A lot,Male,,22,Polish
IP Address,,anonymous,EN-GB,Yes,6605c195e4727703228ef777,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat satisfied,A moderate amount,A lot,A moderate amount,A great deal,Sometimes,Somewhat,Somewhat,A little,A little,A little,A little,A moderate amount,None at all,A moderate amount,None at all,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,A little,A little,A little,A little,A moderate amount,A little,A lot,A moderate amount,A moderate amount,A little,A moderate amount,Male,,63,German
IP Address,,anonymous,EN-GB,Yes,6685935928a8784bdb54d2c7,Strongly agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Extremely satisfied,Somewhat satisfied,A great deal,A lot,A little,A little,Sometimes,Not at all,A little,Not at all,None at all,None at all,None at all,None at all,None at all,A moderate amount,None at all,A little,None at all,None at all,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A little,A little,A moderate amount,A little,A little,A lot,A little,A little,None at all,None at all,None at all,Male,,26,Polish
IP Address,,anonymous,EN-GB,Yes,5e805d349c1c2472d64b9a81,Strongly agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot,A great deal,A moderate amount,A lot,Sometimes,Somewhat,Somewhat,A little,A moderate amount,A moderate amount,A moderate amount,A little,None at all,A great deal,A little,A great deal,A moderate amount,A little,A lot,A lot,A great deal,A great deal,A great deal,A lot,A lot,A moderate amount,A lot,A lot,A great deal,A lot,A moderate amount,A little,A lot,A moderate amount,A lot,Male,,23,Poland
IP Address,,anonymous,EN-GB,Yes,665c6fbeaf50f4046ca86d06,Strongly agree,Somewhat agree,Strongly agree,Extremely satisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A moderate amount,A great deal,A great deal,A lot,Always,Completely,Completely,A lot,A great deal,A moderate amount,A great deal,A lot,A great deal,A lot,A great deal,A great deal,A lot,A lot,A lot,A great deal,A moderate amount,A lot,A lot,A great deal,A lot,A lot,A great deal,A little,A lot,A great deal,A great deal,A moderate amount,A great deal,A great deal,A lot,Female,,24,south africa
IP Address,,anonymous,EN-GB,Yes,603cb0231c38de9fe48fd4c4,Somewhat agree,Strongly agree,Somewhat agree,Extremely dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A little,A lot,A lot,A moderate amount,About half the time,A lot,Somewhat,Somewhat,A lot,A little,A little,A lot,A lot,None at all,A little,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A great deal,A moderate amount,A moderate amount,A lot,A lot,A little,A lot,A little,A little,A lot,A moderate amount,A little,A little,Male,,23,English 
IP Address,,anonymous,EN-GB,Yes,6086ceb0ef970fcd977a1472,Strongly agree,Strongly agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,A great deal,A lot,A moderate amount,A moderate amount,About half the time,A lot,A lot,A lot,None at all,A little,A moderate amount,A moderate amount,A little,A lot,None at all,A moderate amount,A little,A great deal,A great deal,A lot,A great deal,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,A great deal,A great deal,A lot,A lot,A little,A little,A little,Male,,25,portuguese
IP Address,,anonymous,EN-GB,Yes,66913f5de0b10efeacb0f31b,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,Extremely satisfied,A great deal,A great deal,A great deal,A lot,Most of the time,Somewhat,A lot,A lot,None at all,A little,None at all,A little,None at all,A great deal,A little,A little,A moderate amount,A little,A little,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,A lot,A little,A little,A moderate amount,A lot,A moderate amount,A great deal,None at all,A little,A moderate amount,None at all,Female,,24,Polish
IP Address,,anonymous,EN-GB,Yes,60fe02e403ca7461c800b867,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,A lot,A lot,A lot,A great deal,Most of the time,Somewhat,A little,Completely,A lot,A lot,A moderate amount,A lot,A lot,A great deal,A lot,A little,A lot,A lot,A lot,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A little,A little,A moderate amount,A lot,A moderate amount,None at all,Male,,25,south africa
IP Address,,anonymous,EN-GB,Yes,66699fb6c445834548a9b958,Somewhat agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A lot,A lot,A moderate amount,A lot,Sometimes,Somewhat,A little,A little,A little,A little,A little,A little,A little,A little,A moderate amount,A moderate amount,A moderate amount,None at all,A great deal,A lot,A lot,A lot,A great deal,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A little,A moderate amount,A little,A little,A little,A little,Female,,28,Indian
IP Address,,anonymous,EN-GB,Yes,615470cc0bc516b2e431af54,Somewhat agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A great deal,A great deal,A moderate amount,A great deal,About half the time,Completely,A lot,Not at all,None at all,None at all,A lot,A moderate amount,None at all,A lot,None at all,A moderate amount,A moderate amount,None at all,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A lot,A great deal,A lot,A lot,A great deal,A lot,A lot,A moderate amount,A lot,A lot,Female,,21,Polish
IP Address,,anonymous,EN-GB,Yes,65957d4770ec0aae0dfa7dc7,Strongly agree,Strongly agree,Neither agree nor disagree,Extremely satisfied,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,A great deal,A great deal,A great deal,A great deal,Sometimes,Completely,Completely,A little,A moderate amount,A lot,A moderate amount,A little,None at all,A little,A little,A great deal,A lot,A little,A great deal,A great deal,A great deal,A little,A great deal,A lot,A lot,A great deal,A great deal,A moderate amount,A lot,A little,A lot,A great deal,A moderate amount,A moderate amount,A moderate amount,Male,,35,Slovenian
IP Address,,anonymous,EN-GB,Yes,5efcda6e3f64630e4487a845,Somewhat agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,A lot,A lot,A lot,A lot,Sometimes,A little,Somewhat,Somewhat,A moderate amount,A moderate amount,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A lot,A lot,A lot,A lot,Male,,25,American
IP Address,,anonymous,EN-GB,Yes,6124ce8352f12920a238d3fb,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A moderate amount,A great deal,A great deal,A great deal,Sometimes,Completely,A lot,Somewhat,A lot,A lot,A moderate amount,A little,None at all,A great deal,A moderate amount,A moderate amount,A moderate amount,A great deal,A lot,A great deal,A great deal,A lot,A lot,A lot,A great deal,A great deal,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A great deal,A great deal,Female,,25,south african
